Input,Cantab Pron,Dictionary Word,Dictionary Pron
’em,AH M,------------,------------
abundant,AH B AH N D AH N T,abundant,uh-buhn-duh nt
adjudicators,AH JH UW D IH K EY T ER Z,adjudicate,uh-joo-di-keyt
aguas,AA G W AH S,------------,------------
alexander's,AE L AH G Z AE N D ER Z,alexander,|al-ig-zan-der, -zahn-|
ambit,AE M B IH T,ambit,am-bit
anglos,AE NG G L OW S,Anglo,ang-gloh
anwyl,AE N W IH L,------------,------------
areti,AA R EH T IY,------------,------------
asilah,AH Z IH L AH,------------,------------
auditions,AO D IH SH AH N Z,audition,aw-dish-uh n
azzopardi,AA T S OW P AA R D IY,------------,------------
bakoyannis,B AE K OY AE N IH S,------------,------------
barges,B AA R JH IH Z,barge,bahrj
bayfront,B EY F R AH N T,------------,------------
belittling,B IH L IH T L IH NG,belittle,bih-lit-l
bethany,B EH TH AH N IY,Bethany,beth-uh-nee
bioterror,B AY AA T EH ER,------------,------------
blondes,B L AA N D Z,blonde,blond
boner,B OW N ER,boner,boh-ner
box,B AA K S,box,boks
briggs,B R IH G Z,Briggs,brigz
budiansky,B UW D IY AE N S K IY,------------,------------
buttering,B AH T ER IH NG,butter,buht-er
callback,K AO L B AE K,callback,kawl-bak
caramelised,K AA R AH M AH L AY Z D,caramelize,|kar-uh-muh-lahyz, kahr-muh-|
castrati,K AA S T R AA T IY,castrato,|ka-strah-toh, kuh-; Italian kah-strah-taw|
certosa,S ER T OW S AH,------------,------------
cheatwood,CH IY T W UH D,------------,------------
chopper's,CH AA P ER Z,chopper,chop-er
clapboard,K L AE P B AO R D,clapboard,|klab-erd, klap-bawrd, ‐bohrd|
co-production,K OW P ER D AH K SH AH N,coproduce,|koh-pruh-doos, -dyoos|
coltrane's,K OW L T R AH N Z,Coltrane,kohl-treyn
concussed,K AH N K AH S T,concuss,kuh n-kuhs
contours,K AA N T UH R Z,contour,kon-too r
corticosterone,K AO R T IH K OW S T ER OW N,corticosterone,|kawr-ti-kos-tuh-rohn, -koh-stuh-rohn|
craigavon,K R EY AY G AA V AO N,Craigavon,|kreyg-ey-vuh n, -av-uh n|
cruciform,K R UW S IH F AO R M,cruciform,kroo-suh-fawrm
cypriots,S IH P R IY AH T S,Cypriot,sip-ree-uh t
darkness',D AA R K N AH S,darkness,dahrk-nis
dede's,D IY D Z,------------,------------
denenberg,D EH N AH N B ER G,------------,------------
devalued,D IY V AE L Y UW D,devalue,dee-val-yoo
dinis,D IY N IY Z,------------,------------
dispute,D IH S P Y UW T,dispute,dih-spyoot
dominicans,D OW M IH N IH K AH N Z,Dominican,duh-min-i-kuh n
drearier,D R IY R IY ER,dreary,dreer-ee
dusautoir,D UW S AO T W AA R,------------,------------
ectopia,EH K T OW P IY AH,ectopia,ek-toh-pee-uh
elfriede,EH L F R AY IY D,------------,------------
encouraging,EH N K ER IH JH IH NG,encourage,|en-kur-ij, -kuhr-|
epix,IH P IH K S,------------,------------
eugenio,Y UW JH IY N IY OW,------------,------------
exoticism,IH G Z AA T IH S IH Z AH M,exoticism,ig-zot-uh-siz-uh m
faintness,F EY N T N AH S,faint,feynt
fayette,F EY EH T,LaFayette,|laf-ee-et, laf-ey-, lah-fee-, -fey-; French la fa-yet|
fidler's,F AY D L ER Z,------------,------------
flashbacks,F L AE SH B AE K S,flashback,flash-bak
foodbank,F UW D B AE NG K,------------,------------
frankfurt,F R AE NG K F ER T,FrankfortontheMain,meyn
fulmars,F UH L M ER Z,fulmar,foo l-mer
gambling,G AE M B AH L IH NG,gambling,gam-bling
gem,JH EH M,gem,jem
gift,G IH F T,gift,gift
glushko,G L AH SH K OW,------------,------------
gov's,G AH V ER N ER Z,------------,------------
gridded,G R IH D AH D,------------,------------
gulzar,G AH L Z ER,------------,------------
haiti,HH EY T IY,Haiti,hey-tee
hardwire,HH AA R D W AY R,------------,------------
headin,HH EH D IY N,------------,------------
herbie,HH ER B IY,Hancock,han-kok
hiroshi,HH IH R OW SH IY,------------,------------
hons,HH AA N Z,hon,huhn
huguette,HH UW G EH T,------------,------------
i.m.m.i.,AY EH M EH M AY,------------,------------
immunosuppressants,IH M Y UW N OW S AH P R EH S AH N T S,------------,------------
indium,IH N D IY AH M,indium,in-dee-uh m
instantly,IH N S T AH N T L IY,instantly,in-stuh nt-lee
inveigh,IH N V EY,inveigh,in-vey
ivanisevic,IH V AE N IH S IH V IH K,------------,------------
jayant,JH AY AH N T,------------,------------
joneses,JH OW N Z IH Z,Joneses,john-ziz
kala's,K EY L AH Z,------------,------------
kayalar,K AY AH L ER,------------,------------
khun,K AH N,------------,------------
klinghoffer,K L IH NG HH AO F ER,------------,------------
kratovil,K R AE T AH V AH L,------------,------------
lacing,L AA S IH NG,lacing,ley-sing
laslo,L AA S L OW,------------,------------
legs,L EH G Z,leg,leg
lichfield,L IH K F IY L D,Lichfield,lich-feeld
liukin,L IY AH K IH N,------------,------------
lou,L UW,Lou,loo
lynd's,L IH N D Z,Lynd,lind
maghreb,M AE G R EH B,Maghreb,muhg-ruh b
manage,M AE N IH JH,manage,man-ij
marinated,M EH R AH N EY T IH D,marinate,mar-uh-neyt
mather's,M AE DH ER Z,Mather,|math -er, math-|
mcgough,M AH G AW,------------,------------
melissa,M AH L IH S AH,Melissa,muh-lis-uh
metros,M EH T R AA Z,metro,me-troh
millirems,M IH L ER EH M Z,millirem,mil-uh-rem
mistresses,M IH S T R AH S IH Z,mistress,mis-tris
mongolians,M AA NG G OW L Y AH N Z,Mongolian,|mong-goh-lee-uh n, mon-|
motamedi,M AA T AH M EH D IY,------------,------------
